time_step [s] = stop-time [s] = time [s]	separation [m]	mean speed [m/s]
3.040000e-12	4.205046e-10	2.414433e+02
3.050000e-12	4.205647e-10	2.410553e+02
3.060000e-12	4.205339e-10	2.405843e+02
3.070000e-12	4.204986e-10	2.400673e+02
3.080000e-12	4.204878e-10	2.394536e+02
3.090000e-12	4.203987e-10	2.388637e+02
3.100000e-12	4.204204e-10	2.383690e+02
3.110000e-12	4.201492e-10	2.380048e+02
3.120000e-12	4.201013e-10	2.376663e+02
3.130000e-12	4.199859e-10	2.373508e+02
3.140000e-12	4.199547e-10	2.371348e+02
3.150000e-12	4.200880e-10	2.370288e+02
3.160000e-12	4.201137e-10	2.369137e+02
3.170000e-12	4.201796e-10	2.367912e+02
3.180000e-12	4.202221e-10	2.366780e+02
3.190000e-12	4.204314e-10	2.366546e+02
3.200000e-12	4.205689e-10	2.367581e+02
3.210000e-12	4.205768e-10	2.369373e+02
3.220000e-12	4.206779e-10	2.371763e+02
3.230000e-12	4.207532e-10	2.373790e+02
3.240000e-12	4.208066e-10	2.375247e+02
3.250000e-12	4.208644e-10	2.376126e+02
3.260000e-12	4.208701e-10	2.377077e+02
3.270000e-12	4.210953e-10	2.377870e+02
3.280000e-12	4.210165e-10	2.378398e+02
3.290000e-12	4.209472e-10	2.378136e+02
3.300000e-12	4.209298e-10	2.377230e+02
3.310000e-12	4.208208e-10	2.375395e+02
3.320000e-12	4.207949e-10	2.372738e+02
3.330000e-12	4.207847e-10	2.369852e+02
3.340000e-12	4.207162e-10	2.367192e+02
3.350000e-12	4.206882e-10	2.364399e+02
3.360000e-12	4.206410e-10	2.361307e+02
3.370000e-12	4.206171e-10	2.358407e+02
3.380000e-12	4.206320e-10	2.355579e+02
3.390000e-12	4.205720e-10	2.353019e+02
3.400000e-12	4.205862e-10	2.351177e+02
3.410000e-12	4.206616e-10	2.349787e+02
3.420000e-12	4.207522e-10	2.349127e+02
3.430000e-12	4.207859e-10	2.349416e+02
3.440000e-12	4.208833e-10	2.349891e+02
3.450000e-12	4.209582e-10	2.350502e+02
3.460000e-12	4.210781e-10	2.351665e+02
3.470000e-12	4.212194e-10	2.352939e+02
3.480000e-12	4.212749e-10	2.354533e+02
3.490000e-12	4.213919e-10	2.356322e+02
3.500000e-12	4.214679e-10	2.358012e+02
3.510000e-12	4.214701e-10	2.359373e+02
3.520000e-12	4.215218e-10	2.360267e+02
3.530000e-12	4.218608e-10	2.360925e+02
3.540000e-12	4.218741e-10	2.361317e+02
3.550000e-12	4.219287e-10	2.361280e+02
3.560000e-12	4.221086e-10	2.360990e+02
3.570000e-12	4.221902e-10	2.360691e+02
3.580000e-12	4.222078e-10	2.360427e+02
3.590000e-12	4.223134e-10	2.360055e+02
3.600000e-12	4.223576e-10	2.360091e+02
3.610000e-12	4.224184e-10	2.360318e+02
3.620000e-12	4.225030e-10	2.360454e+02
3.630000e-12	4.225010e-10	2.360854e+02
3.640000e-12	4.224405e-10	2.361609e+02
3.650000e-12	4.224978e-10	2.362689e+02
3.660000e-12	4.225604e-10	2.362989e+02
3.670000e-12	4.224408e-10	2.362801e+02
3.680000e-12	4.224679e-10	2.362037e+02
3.690000e-12	4.224803e-10	2.360436e+02
3.700000e-12	4.225287e-10	2.357952e+02
3.710000e-12	4.224765e-10	2.354969e+02
3.720000e-12	4.225310e-10	2.353055e+02
3.730000e-12	4.223955e-10	2.349518e+02
3.740000e-12	4.224701e-10	2.345455e+02
3.750000e-12	4.224843e-10	2.342446e+02
3.760000e-12	4.223207e-10	2.340183e+02
3.770000e-12	4.220482e-10	2.339934e+02
3.780000e-12	4.218683e-10	2.339723e+02
3.790000e-12	4.216328e-10	2.341206e+02
3.800000e-12	4.216077e-10	2.341657e+02
3.810000e-12	4.215976e-10	2.341706e+02
3.820000e-12	4.214261e-10	2.340576e+02
3.830000e-12	4.214014e-10	2.339799e+02
3.840000e-12	4.213927e-10	2.338211e+02
3.850000e-12	4.213869e-10	2.336343e+02
3.860000e-12	4.213028e-10	2.333794e+02
3.870000e-12	4.212745e-10	2.330779e+02
3.880000e-12	4.213548e-10	2.327625e+02
3.890000e-12	4.213514e-10	2.324433e+02
3.900000e-12	4.213625e-10	2.320910e+02
3.910000e-12	4.213827e-10	2.317471e+02
3.920000e-12	4.213294e-10	2.314244e+02
3.930000e-12	4.212823e-10	2.310730e+02
3.940000e-12	4.212616e-10	2.306924e+02
3.950000e-12	4.210718e-10	2.304927e+02
3.960000e-12	4.209593e-10	2.303116e+02
3.970000e-12	4.207309e-10	2.304225e+02
3.980000e-12	4.207326e-10	2.302723e+02
3.990000e-12	4.207388e-10	2.302063e+02
4.000000e-12	4.208077e-10	2.301648e+02
4.010000e-12	4.206618e-10	2.304410e+02
4.020000e-12	4.206755e-10	2.305202e+02
4.030000e-12	4.206534e-10	2.306176e+02
4.040000e-12	4.204948e-10	2.312714e+02
4.050000e-12	4.204644e-10	2.319368e+02
4.060000e-12	4.203751e-10	2.324100e+02
4.070000e-12	4.204334e-10	2.329334e+02
4.080000e-12	4.203817e-10	2.335383e+02
4.090000e-12	4.205758e-10	2.340782e+02
4.100000e-12	4.206987e-10	2.345320e+02
4.110000e-12	4.209086e-10	2.348937e+02
4.120000e-12	4.209935e-10	2.351410e+02
4.130000e-12	4.210059e-10	2.353079e+02
4.140000e-12	4.210362e-10	2.354380e+02
4.150000e-12	4.211512e-10	2.355489e+02
4.160000e-12	4.212838e-10	2.356341e+02
4.170000e-12	4.213236e-10	2.357013e+02
4.180000e-12	4.213491e-10	2.356968e+02
4.190000e-12	4.214272e-10	2.356353e+02
4.200000e-12	4.215801e-10	2.354865e+02
4.210000e-12	4.216858e-10	2.352328e+02
4.220000e-12	4.217427e-10	2.349719e+02
4.230000e-12	4.218165e-10	2.346782e+02
4.240000e-12	4.219310e-10	2.343955e+02
4.250000e-12	4.218348e-10	2.341739e+02
4.260000e-12	4.218564e-10	2.340531e+02
4.270000e-12	4.218418e-10	2.339809e+02
4.280000e-12	4.218856e-10	2.339449e+02
4.290000e-12	4.218994e-10	2.338421e+02
4.300000e-12	4.219670e-10	2.337183e+02
4.310000e-12	4.219839e-10	2.335770e+02
4.320000e-12	4.218557e-10	2.333816e+02
4.330000e-12	4.218227e-10	2.331087e+02
4.340000e-12	4.218157e-10	2.327655e+02
4.350000e-12	4.218349e-10	2.324293e+02
4.360000e-12	4.219818e-10	2.320923e+02
4.370000e-12	4.220457e-10	2.317859e+02
4.380000e-12	4.221942e-10	2.315225e+02
4.390000e-12	4.222200e-10	2.313461e+02
4.400000e-12	4.221505e-10	2.312043e+02
4.410000e-12	4.220406e-10	2.310524e+02
4.420000e-12	4.219424e-10	2.309185e+02
4.430000e-12	4.219031e-10	2.308028e+02
4.440000e-12	4.219182e-10	2.306651e+02
4.450000e-12	4.219650e-10	2.304404e+02
4.460000e-12	4.218953e-10	2.301689e+02
4.470000e-12	4.218355e-10	2.298110e+02
4.480000e-12	4.219609e-10	2.294055e+02
4.490000e-12	4.220556e-10	2.289492e+02
4.500000e-12	4.221764e-10	2.284498e+02
4.510000e-12	4.221936e-10	2.279626e+02
4.520000e-12	4.221635e-10	2.275458e+02
4.530000e-12	4.222140e-10	2.272322e+02
4.540000e-12	4.222581e-10	2.270118e+02
4.550000e-12	4.222738e-10	2.268902e+02
4.560000e-12	4.223530e-10	2.268166e+02
4.570000e-12	4.223913e-10	2.267892e+02
4.580000e-12	4.222485e-10	2.268147e+02
4.590000e-12	4.222099e-10	2.268487e+02
4.600000e-12	4.221947e-10	2.268892e+02
4.610000e-12	4.221914e-10	2.269177e+02
4.620000e-12	4.220748e-10	2.272332e+02
4.630000e-12	4.220929e-10	2.272689e+02
4.640000e-12	4.220818e-10	2.272955e+02
4.650000e-12	4.219128e-10	2.277131e+02
4.660000e-12	4.220337e-10	2.276663e+02
4.670000e-12	4.220200e-10	2.275612e+02
4.680000e-12	4.218968e-10	2.274789e+02
4.690000e-12	4.219892e-10	2.273911e+02
4.700000e-12	4.219368e-10	2.272877e+02
4.710000e-12	4.219683e-10	2.272549e+02
4.720000e-12	4.220124e-10	2.272412e+02
4.730000e-12	4.220613e-10	2.272369e+02
4.740000e-12	4.221928e-10	2.272025e+02
4.750000e-12	4.222539e-10	2.271357e+02
4.760000e-12	4.222530e-10	2.270550e+02
4.770000e-12	4.223178e-10	2.269521e+02
4.780000e-12	4.223033e-10	2.268365e+02
4.790000e-12	4.222817e-10	2.267787e+02
4.800000e-12	4.223870e-10	2.267626e+02
4.810000e-12	4.224959e-10	2.267418e+02
4.820000e-12	4.224329e-10	2.267337e+02
4.830000e-12	4.224714e-10	2.267283e+02
4.840000e-12	4.224708e-10	2.266628e+02
4.850000e-12	4.223457e-10	2.268228e+02
4.860000e-12	4.221788e-10	2.267039e+02
4.870000e-12	4.221203e-10	2.268910e+02
4.880000e-12	4.220458e-10	2.269634e+02
4.890000e-12	4.219916e-10	2.270423e+02
4.900000e-12	4.219425e-10	2.271113e+02
4.910000e-12	4.219201e-10	2.271550e+02
4.920000e-12	4.218699e-10	2.272382e+02
4.930000e-12	4.220235e-10	2.273398e+02
4.940000e-12	4.220403e-10	2.274065e+02
4.950000e-12	4.220953e-10	2.274246e+02
4.960000e-12	4.221135e-10	2.274228e+02
4.970000e-12	4.222207e-10	2.274022e+02
4.980000e-12	4.222231e-10	2.273703e+02
4.990000e-12	4.222651e-10	2.272998e+02
